Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Kasserine;82;3;641;144;7;453;380;11;2381;606;21;3475;17,4;0,6;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Sfax;40;211;710;95;181;1159;211;387;3753;346;779;5622;6,2;13,9;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Gabes;96;114;936;198;23;915;534;35;3120;828;172;4971;16,7;3,5;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Kebili;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Gafsa;18;0;212;26;0;275;101;0;1666;145;0;2153;6,7;0,0;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Sidi Bouz;38;166;347;58;83;399;209;77;2122;305;326;2868;10,6;11,4;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Tozeur;20;22;89;26;37;162;56;78;631;102;137;882;11,6;15,5;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Medenine;82;328;905;112;188;974;236;548;3356;430;1064;5235;8,2;20,3;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine2;Tataou;6;33;101;19;38;134;27;65;631;52;136;866;6,0;15,7;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Ariana;76;0;935;92;0;1104;236;0;4345;404;0;6384;6,3;0,0;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Ben Arous;3;154;335;18;92;319;53;160;1374;74;406;2028;3,6;20,0;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Bizerte;18;209;489;56;139;409;128;297;1985;202;645;2883;7,0;22,4;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Nabeul;46;726;1187;50;242;732;185;644;5107;281;1612;7026;4,0;22,9;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Zaghouan;24;0;324;53;0;349;139;0;1705;216;0;2378;9,1;0,0;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Beja;32;22;205;16;28;120;37;23;492;85;73;817;10,4;8,9;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Jendouba ;22;75;172;24;29;101;74;40;496;120;144;769;15,6;18,7;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Le Kef;0;308;700;83;0;684;361;0;3989;444;308;5373;8,3;5,7;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Siliana;10;0;69;76;0;294;161;0;1178;247;0;1541;16,0;0,0;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Kairouan;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Sousse;126;304;1307;114;201;818;367;392;6225;607;897;8350;7,3;10,7;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Mahdia;21;11;281;27;0;395;47;2;444;95;13;1120;8,5;1,2;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
2010;FEVRIER;Semaine3;Kasserine;78;0;578;119;2;578;264;10;2469;461;12;3625;12,7;0,3;;;;;;;;;;;;;;;;
