Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Nabeul;165;683;1279;258;392;1079;449;615;3690;872;1690;6048;14,4;27,9;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Zaghouan;56;0;315;107;0;371;172;0;1140;335;0;1826;18,3;0;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Beja;36;83;328;68;49;214;90;124;667;194;256;1209;16,0;21,1745244;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Jendouba ;52;205;373;76;91;334;113;62;675;241;358;1382;17,4;25,9;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Le Kef;0;204;476;198;0;523;522;0;2463;720;204;3462;20,8;5,9;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Siliana;30;0;181;149;0;398;355;0;1758;534;0;2337;22,8;0;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Kairouan;282;186;1287;372;268;1303;1033;371;4404;1687;825;6994;24,1;11,8;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Sousse;118;192;665;182;305;687;407;173;3818;707;670;5170;13,7;13,0;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Mahdia;47;26;297;73;0;309;86;0;431;206;26;1037;19,9;2,507232401;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Kasserine;199;0;1285;210;0;801;428;2;3248;837;2;5334;15,7;0,0;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Sfax;50;199;590;163;128;875;276;278;2737;489;605;4202;11,6;14,4;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Gabes;57;56;637;117;3;941;488;15;3811;662;74;5389;12,3;1,4;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Kebili;140;321;1156;330;48;1590;808;146;4982;1278;515;7728;16,5;6,7;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Gafsa;19;0;436;398;0;994;688;0;2826;1105;0;4256;26,0;0;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Sidi Bouz;151;179;666;164;104;679;613;134;3425;928;417;4770;19,5;8,7;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Tozeur;38;33;130;73;17;149;142;37;659;253;87;938;27,0;9,3;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Medenine;52;300;722;142;187;825;202;444;2502;396;931;4049;9,8;23,0;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine4;Tataou;6;22;71;9;20;109;41;51;566;56;93;746;7,5;12,5;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine5;Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine5;Ariana;268;0;920;443;0;1273;726;0;2712;1437;0;4905;29,3;0,0;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine5;Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine5;Ben Arous;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine5;Bizerte;140;352;826;370;156;915;657;263;2842;1167;771;4583;25,5;16,8;;;;;;;;;;;;;;;;;;
2009;NOVEMBRE;Semaine5;Nabeul;151;356;966;325;238;671;472;577;3192;948;1171;4829;19,6;24,24932698;;;;;;;;;;;;;;;;;;
